voip-b772dbf437-20130402_143019	0	hello , welcome to the cambridge restaurant system? you can ask for restaurants by area , price range or food type . how may i help you?	welcomemsg		
voip-b772dbf437-20130402_143019	1	what kind of <slot> would you like?	request	<pricerange>ly priced <food> food	inform
voip-b772dbf437-20130402_143019	2	sorry there is no <food> restaurant in the <pricerange> price range	canthelp	how about <food>	inform reqalts
voip-b772dbf437-20130402_143019	3	<name> is a great restaurant serving <food> food and it is in the <pricerange> price range	inform offer	is there anything else	
voip-b772dbf437-20130402_143019	4	can i help you with anything else?	reqmore	could i have the <slot>ess and phone number	request
voip-b772dbf437-20130402_143019	5	sure , <name> is on <addr>	inform offer	<slot> number	request
voip-b772dbf437-20130402_143019	6	the phone number of <name> is <phone> .	inform offer	thank you good bye	bye
voip-b772dbf437-20130402_142118	0	hello , welcome to the cambridge restaurant system? you can ask for restaurants by area , price range or food type . how may i help you?	welcomemsg	and that well	
voip-b772dbf437-20130402_142118	1	what part of town do you have in mind?	request	<area>	inform
voip-b772dbf437-20130402_142118	2	what kind of <slot> would you like?	request	can one	
voip-b772dbf437-20130402_142118	3	what kind of <slot> would you like?	request	can that one	
voip-b772dbf437-20130402_142118	4	what kind of <slot> would you like?	request	ok don't in	inform
voip-b772dbf437-20130402_142118	5	would you like something in the cheap , moderate , or expensive price range?	request	<pricerange>	inform
voip-b772dbf437-20130402_142118	6	<name> is a nice place in the <area> of town and the prices are <pricerange>	inform offer	is there anything else	reqalts
voip-b772dbf437-20130402_142118	7	<name> is a nice place in the <area> of town and the prices are <pricerange>	inform offer	can i get the <slot> number and	request
voip-b772dbf437-20130402_142118	8	the phone number of <name> is <phone> .	inform offer	price range	request
voip-b772dbf437-20130402_142118	9	<name> is in the <pricerange> price range	inform offer	can i get the <slot> number and price range	request
voip-b772dbf437-20130402_142118	10	the phone number of <name> is <phone> .	inform offer	thank you good bye	bye
voip-b772dbf437-20130402_141805	0	hello , welcome to the cambridge restaurant system? you can ask for restaurants by area , price range or food type . how may i help you?	welcomemsg	that's ok	
voip-b772dbf437-20130402_141805	1	what part of town do you have in mind?	request	<pricerange> part	inform
voip-b772dbf437-20130402_141805	2	let me confirm , you are looking for a restaurant in the <pricerange> price range right?	expl-conf	i don't care about the price range	inform
voip-b772dbf437-20130402_141805	3	what part of town do you have in mind?	request	uh <food> food	inform
voip-b772dbf437-20130402_141805	4	i'm sorry but there is no restaurant serving <food> food	canthelp	how about <food> food	inform reqalts
voip-b772dbf437-20130402_141805	5	sorry would you like <food> or <food> food?	select	<food> food	inform
voip-b772dbf437-20130402_141805	6	<name> serves <food> food	inform offer	is there anything else	reqalts
voip-b772dbf437-20130402_141805	7	<name> serves <food> food	inform offer	can i have the <slot>ess	request
voip-b772dbf437-20130402_141805	8	sure , <name> is on <addr>	inform offer	thank you good bye	bye
voip-b772dbf437-20130402_141105	0	hello , welcome to the cambridge restaurant system? you can ask for restaurants by area , price range or food type . how may i help you?	welcomemsg		
voip-b772dbf437-20130402_141105	1	what part of town do you have in mind?	request	<area> part of town	inform
voip-b772dbf437-20130402_141105	2	would you like something in the cheap , moderate , or expensive price range?	request	<pricerange>	inform
voip-b772dbf437-20130402_141105	3	<name> is a nice restaurant in the <area> of town in the <pricerange> price range	inform offer	do you have another option anything else	reqalts
voip-b772dbf437-20130402_141105	4	<name> is a nice restaurant in the <area> of town in the <pricerange> price range	inform offer	can i have the <slot> number	request
voip-b772dbf437-20130402_141105	5	the phone number of <name> is <phone> .	inform offer	thank you good bye	bye
voip-b772dbf437-20130402_142550	0	hello , welcome to the cambridge restaurant system? you can ask for restaurants by area , price range or food type . how may i help you?	welcomemsg		inform
voip-b772dbf437-20130402_142550	1	what part of town do you have in mind?	request	<area>	inform
voip-b772dbf437-20130402_142550	2	what kind of <slot> would you like?	request	<pricerange>	inform
voip-b772dbf437-20130402_142550	3	what kind of <slot> would you like?	request	any type	inform
